variable,stability_prob,elasticnet_coef,adaptive_lasso_coef,post_lasso_coef,post_lasso_se,post_lasso_p,boot_ci_lower,boot_ci_upper,revealed_weight_pct
cont__attr,1.0,0.15127015202718977,0.15808657179965985,0.1508369325543314,0.010094243329605656,1.7335427681595204e-50,0.1359236183252234,0.16973612707726676,5.170427211958129
cat__field_cd_10.0,1.0,-0.0,-0.0,0.0036964628058561155,0.05267601446368052,0.9440555284042751,-0.09665211147521142,0.11389223142503226,0.1267083038333819
cont__age_diff,1.0,-0.007837544126688576,-0.0,-0.01476839877574939,0.007040679737008958,0.035942140642043444,-0.028624727952640858,-0.0035150809571624707,0.5062349758384228
cont__age,1.0,-0.0080148753330613,-0.007436647366204255,-0.021297262215275573,0.011318508525819166,0.05988606573712663,-0.04444872408115586,0.003133145553528548,0.7300330378861608
cont__imprace,1.0,-0.02126565455583894,-0.014817779738895675,-0.02112192147514525,0.013214268743254357,0.10995004091067727,-0.05361975740618174,0.016189282472530344,0.7240226628488128
cont__imprelig,1.0,-0.005294799640413863,-0.0,-0.018240705538084535,0.013347338112338427,0.17174523619064508,-0.04267291837924627,0.009528849702283739,0.6252596010957489
cont__sinc,1.0,-0.00673655090950625,-0.0023124988088162324,-0.019421193460902878,0.009638442500171726,0.04390756448877725,-0.03434087616215716,0.003518166506889966,0.6657246700690215
cat__race_3.0,1.0,0.0,0.0,0.007938082745225655,0.05480074257854806,0.8848264920356229,-0.11822755843155856,0.15041515653415993,0.27210364425772343
cat__race_4.0,1.0,0.0,0.0,-0.019927194964120935,0.05171300107895631,0.6999839949873443,-0.1412958202287288,0.1127063439216934,0.6830695198828295
cat__field_cd_3.0,1.0,0.0,0.0,0.061649766545670365,0.056783593175249114,0.2776131480087537,-0.05558846373478522,0.17250911135844305,2.113246571384527
cat__field_cd_4.0,1.0,0.0,0.0,0.06437748161745495,0.11385866880473111,0.5717910321820274,-0.21356142767936503,0.319766042876469,2.206747890953879
cat__field_cd_5.0,1.0,0.0,0.0,0.0403135906752174,0.04891851617009876,0.4098845810389573,-0.06608062094325874,0.16593134255526182,1.381879641206613
cat__field_cd_6.0,1.0,-0.0,0.0,0.04776465349957808,0.06406593501384836,0.4559365078440991,-0.07833275274336787,0.17617850724362297,1.637289091217851
cat__field_cd_7.0,1.0,-0.0,-0.0,-0.05735373897039783,0.05914584381785643,0.33219593059931474,-0.19053249004306524,0.06681021082728889,1.965986232007692
cat__field_cd_8.0,1.0,-0.0,-0.0,-0.019869225432099152,0.04629228112652324,0.6677685914695024,-0.11246715263934545,0.08699235372763221,0.6810824253380505
cat__field_cd_9.0,1.0,0.0,0.0,0.07462476082580183,0.04847869162130315,0.12372346945449211,-0.027908399924280302,0.17841746080560816,2.558006766152001
cat__field_cd_11.0,1.0,-0.0,-0.0,0.013732329758690383,0.05718225883804526,0.8102138340961041,-0.09227442796743988,0.14206273305484968,0.47072033530210033
cont__yoga,1.0,0.01886418318937632,0.015590928549900991,0.027542951536137346,0.012153592236973569,0.02343671965817843,-0.0016276516327406584,0.052700243199754075,0.9441243845819582
cat__field_cd_13.0,1.0,-0.0,-0.0,0.00646128342156415,0.05931641290881563,0.913258726203393,-0.1114175277407177,0.14023264841510072,0.22148153679136776
cat__goal_2.0,1.0,0.0,0.0,0.03856493684865334,0.025811805091438596,0.13515435538157264,-0.012665163796654808,0.09554028823201774,1.321938835092004
cat__goal_3.0,1.0,0.0,0.0,-0.003193222925430464,0.03992420729077443,0.9362514728541893,-0.09486211272550069,0.08229132593873725,0.10945811763672139
cat__goal_4.0,1.0,0.0,0.0,0.0852114313107,0.08022021857221,0.2881363274016341,-0.06521027274265866,0.2812272720504188,2.920899382915041
cat__goal_6.0,1.0,-0.0,-0.0,-0.06517743107112471,0.0652774242347696,0.3180523860857428,-0.20289919825694155,0.05936860527574163,2.234168764299705
cat__date_2.0,1.0,0.0,0.0,0.03241025679403481,0.12271202375036111,0.7916902343451276,-0.20114806990361264,0.3911944172274444,1.1109671274577797
cat__date_4.0,1.0,0.0,0.0,-0.029296502196661175,0.12116494009466847,0.8089426875157916,-0.25652293743310606,0.3112300893985653,1.0042330456318889
cat__date_5.0,1.0,-0.0056969670325891265,-0.04408993286179164,-0.10203949973040405,0.12208944365546116,0.4032805947435951,-0.3215349170078326,0.23543386264192073,3.4977362451376974
cat__date_7.0,1.0,-0.0,-0.030250258488831405,-0.10345709106354098,0.12215504677151108,0.39703269176809786,-0.3270683010970916,0.2290019763171403,3.5463288058598343
cat__go_out_2.0,1.0,-0.02729782568116171,-0.04379774379707261,-0.061944412547705094,0.02695698262460815,0.021567561178858614,-0.12188740424828397,-0.008838079129137972,2.1233465229084434
cat__go_out_3.0,1.0,0.0,0.0,-0.017255380253419658,0.03077719763142079,0.5750329597978752,-0.09595063449232501,0.04689659077571461,0.5914843672840522
cat__go_out_4.0,1.0,0.0,0.0,0.04936302390794196,0.05117840504573245,0.3347810889645433,-0.06941424874498764,0.16613569061768466,1.6920784436280538
cat__go_out_5.0,1.0,-0.0,-0.0,-0.06755757451694573,0.1209375287780773,0.5764241796329368,-0.34767421976350404,0.18164589896176425,2.315755934180689
bin__gender,1.0,-0.0,0.0,-0.0018503335836729806,0.029981155164980615,0.9507885568620911,-0.06313487783450868,0.08228467307957733,0.06342621100954003
cont__int_corr,1.0,-0.0,-0.0,-0.0031754360081116444,0.006452520648514147,0.6226321539486805,-0.01429747294515579,0.011689466685833204,0.10884841310504809
cat__race_2.0,1.0,-0.032534649798171354,-0.0666390191216803,-0.07899227986745788,0.045841662880959824,0.084860541283931,-0.20319810102457364,0.04119978236870568,2.707717708421327
cont__shopping,1.0,-0.013583086571138065,-0.02153479111734631,-0.03969901752891485,0.015534250277459015,0.010601102446672391,-0.0686767376114119,-0.004616036873793502,1.3608131446558636
cont__intel3_1,1.0,0.025938269012822063,0.02383541713356367,0.04073117447369705,0.012702049005635837,0.0013428479657917201,0.013204813497509144,0.06659263823791868,1.3961936861713917
cont__music,1.0,-0.0,-0.0,-0.009246759794282312,0.015876612985852277,0.560287933501664,-0.03841031980951986,0.031120653310295784,0.31696281310664143
cont__fun_o,1.0,0.0,0.0,0.008276179203364084,0.00945914492552128,0.3816068441108379,-0.007938991149956495,0.02459367961856703,0.283693001703692
cont__intel_o,1.0,0.0004094055106866701,0.0,0.007232490015207756,0.008662764824943272,0.4037774167445072,-0.011836588294045294,0.020911419223078834,0.24791715498043532
cont__sinc_o,1.0,0.0070698782450599644,0.0,0.011495163542277264,0.00818047542265233,0.15996328672059068,-0.003835342513030591,0.02979466644941016,0.3940341757048854
cont__attr_o,1.0,-0.022078967644546203,-0.018253070938824365,-0.028337262101936177,0.008422749741513086,0.0007671810371404221,-0.04421035768425673,-0.012383093204889317,0.9713519666774297
cont__amb3_1,1.0,0.0,-0.0,0.002530264127292356,0.013060678724699381,0.8463861708074991,-0.026671471220889822,0.03022848278713995,0.08673304525389733
cont__fun3_1,1.0,-0.0,-0.0,-0.012608018489701799,0.01449557600944895,0.38441851700200946,-0.04434732747202755,0.013579020011352364,0.4321809041333058
cont__shar_o,1.0,-0.0,-0.0,-0.013359180926411179,0.007068377981050672,0.05875897157320045,-0.024924593683962985,0.0012141027481464043,0.45792944354996357
cont__sinc3_1,1.0,-0.02365184900515125,-0.02663779355682337,-0.0332355133053051,0.01243098820400047,0.007504148095864531,-0.0651038522483143,-0.004768533929609286,1.1392554826401593
